Ranking,Company,Employees,Previous_Rank,Revenues,Revenue_Change,Profits,Profit_Change,Assets,Market_Value
1,Walmart,2300000,1,485873,0.008,13643,-0.07,1988250,218619.00
2,Berkshire Hathaway,367700,4,223604,0.061,24074,0.00,620854,411035.00
3,Apple,116000,3,215639,-0.077,45687,-0.14,321686,753718.00
4,Exxon Mobil,"72,700",2,205004,-0.167,7840,-0.52,330314,340056.00
5,McKesson,"68,000",5,192487,0.062,2258,0.53,56563,31439.00
6,UnitedHealth Group,230000,6,184840,0.177,7017,0.21,122810,157793.00
7,CVS Health,204000,7,177526,0.158,5317,0.02,94462,81310.00
8,General Motors,225000,8,166380,0.092,9427,-0.03,221690,52968.00
9,AT&T,268540,10,163786,0.116,12976,-0.03,403821,255679.00
10,Ford Motor,201000,9,151800,0.015,4596,-0.38,237951,46349.00
11,AmerisourceBergen,"18,500",12,146850,0.080,1428,,33656,19229.00
12,Amazon.com,341400,18,135987,0.271,2371,2.98,83402,423031.00
13,General Electric,295000,11,126661,-0.098,8831,,365183,259520.00
14,Verizon,160900,13,125980,-0.043,13127,-0.27,244180,198900.00
15,Cardinal Health,"37,300",21,121546,0.185,1427,0.17,34122,25725.00
16,Costco,172000,15,118719,0.022,2350,-0.01,33163,73606.00
17,Walgreens Boots Alliance,300000,19,117351,0.134,4173,-0.01,72688,89645.00
18,Kroger,443000,17,115337,0.050,1975,-0.03,36505,26961.00
19,Chevron,"55,200",14,107567,-0.180,-497,-1.11,260078,203263.00
20,Fannie Mae,"7,000",16,107162,-0.029,12313,0.12,3287968,3011.00
21,J.P. Morgan Chase,243355,23,105486,0.044,24733,0.01,2490972,313761.00
22,Express Scripts Holding,"25,600",22,100288,-0.014,3404,0.38,51745,39567.00
23,Home Depot,406000,28,94595,0.069,7957,0.14,42966,176368.00
24,Boeing,150540,24,94571,-0.016,4895,-0.05,89997,107546.00
25,Wells Fargo,269100,27,94176,0.046,21938,-0.04,1930115,278516.00
26,Bank of America Corp.,208024,26,93662,0.007,17906,0.13,2187702,236182.00
27,Alphabet,"72,053",36,90272,0.204,19478,0.19,167497,579426.00
28,Microsoft,114000,25,85320,-0.088,16798,0.38,193694,508935.00
29,Anthem,"53,000",33,84863,0.072,2470,-0.04,65083,43813.00
30,Citigroup,219000,29,82386,-0.067,14912,-0.14,1792077,165394.00
31,Comcast,159000,37,80403,0.079,8695,0.07,180500,178258.00
32,IBM,414400,31,79919,-0.031,11872,-0.10,117470,164251.00
33,State Farm Insurance Cos.,"68,234",35,76132,0.006,350,-0.94,256030,
34,Phillips 66,"14,800",30,72396,-0.169,1555,-0.63,51653,40954.00
35,Johnson & Johnson,126400,39,71890,0.026,16540,0.07,141208,337642.00
36,Procter & Gamble,105000,34,71726,-0.089,10508,0.49,127136,229700.00
37,Valero Energy,"9,996",32,70166,-0.142,2289,-0.43,46173,29746.00
38,Target,323000,38,69495,-0.058,2737,-0.19,37431,30502.00
39,Freddie Mac,"5,982",43,65665,0.034,7815,0.23,2023376,1612.00
40,Lowe's,240000,47,65017,0.101,3093,0.22,34408,70481.00
41,Dell Technologies,138000,,64806,0.181,-1672,,118206,
42,MetLife,"58,000",40,63476,-0.093,800,-0.85,898764,57429.00
43,Aetna,"49,500",46,63155,0.047,2271,-0.05,69146,44859.00
44,PepsiCo,264000,44,62799,-0.004,6329,0.16,74129,159763.00
45,Archer Daniels Midland,"31,800",41,62346,-0.079,1279,-0.31,39769,26274.00
46,UPS,335520,48,60906,0.044,3431,-0.29,40377,93276.00
47,Intel,106000,51,59387,0.073,10316,-0.10,113327,170539.00
48,Prudential Financial,"49,739",50,58779,0.029,4368,-0.23,783962,45912.00
49,Albertsons Cos.,274000,,58734,1.159,-502,,23770,
50,United Technologies,201600,45,57244,-0.062,5055,-0.34,89706,89957.00
51,Marathon Petroleum,"44,460",42,55858,-0.135,1174,-0.59,44413,26679.00
52,Disney,195000,53,55632,0.060,9391,0.12,92033,179298.00
53,Humana,"51,600",52,54379,0.002,614,-0.52,25396,29743.00
54,Pfizer,"96,500",55,52824,0.081,7215,0.04,171615,203725.00
55,AIG,"56,400",49,52367,-0.102,-849,-1.39,498264,61154.00
56,Lockheed Martin,"97,000",60,50658,0.098,5302,0.47,47806,77557.00
57,Sysco,"51,900",57,50367,0.035,950,0.38,16722,28048.00
58,FedEx,335767,58,50365,0.061,1820,0.73,46064,52178.00
59,Hewlett Packard Enterprise,195000,,50123,,3161,,79679,39288.00
60,Cisco Systems,"73,700",54,49247,0.002,10739,0.20,121652,169266.00
